,file_name,size,time,peak_spped,valley_speed,mean_speed,peak_area_before,peak_std_area_before,peak_fre_before,peak_area_after,peak_std_area_after,peak_fre_after,valley_area_before,valley_std_area_before,valley_fre_before,valley_area_after,valley_std_area_after,valley_fre_after
55,left_2rb_06.hkl,0.69,34.31,55.41,52.68,54.045,40.94,4.8,91046.77507990414,63.1,7.87,774.8354994358024,10.86,7.87,69758.7352460884,11.21,7.87,557.5651914816751
56,left_2rb_07.hkl,0.69,35.38,53.47,46.85,50.16,45.1,5.43,114300.34954438366,70.63,7.2,1099.7222890603161,10.1,7.2,79992.0038693708,10.78,7.2,655.1624242660129
57,left_2rb_08.hkl,0.73,36.65,54.33,50.76,52.545,35.88,7.08,145476.013857924,61.04,11.38,971.7857224574674,7.88,11.38,87796.50620634256,9.24,11.38,503.73314064488625
58,left_2rb_09.hkl,0.79,39.18,52.68,49.87,51.275,34.39,4.89,149677.3422558132,62.34,7.75,949.5709167174771,8.33,7.75,103530.8363459411,10.34,7.75,659.6427050780597
59,left_2rb_10.hkl,0.71,35.18,48.41,46.73,47.56999999999999,45.47,3.52,23824.169805953003,75.35,4.45,189.03947783438764,11.41,4.45,18180.510282819338,13.19,4.45,627.6244797171522
60,left_2rb_11.hkl,0.69,36.13,57.03,57.14,57.085,13.55,1.37,23403.849386380738,68.64,5.14,383.3482172463634,3.1,5.14,14557.444456161138,10.66,5.14,594.3832048113818
61,left_2rb_12.hkl,0.69,36.16,48.81,50.91,49.86,60.93,8.67,99296.17584054018,76.92,9.23,542.9670342130336,14.03,9.23,89852.3083946926,11.98,9.23,602.3842442617464
62,left_2rb_13.hkl,0.69,34.69,61.2,57.96,59.58,17.73,1.84,48493.10430906384,73.13,6.0,341.2438450887968,3.54,6.0,43293.14447181624,10.1,6.0,800.9832894783772
63,left_2rb_14.hkl,0.7,36.42,58.61,56.27,57.44,28.49,3.87,27486.03950901785,76.14,7.26,486.92623103507395,4.88,7.26,36035.41806377296,9.02,7.26,902.2297380500827
64,left_2rb_15.hkl,0.87,44.11,45.51,44.25,44.879999999999995,18.62,2.89,44282.33642039574,87.61,10.59,1222.8064809968603,3.68,10.59,28256.471288961904,11.77,10.59,1148.9716032469257
65,left_2rb_16.hkl,0.83,43.25,54.7,54.57,54.635000000000005,55.36,6.43,104485.05030564654,90.09,7.87,1564.5999319604803,11.49,7.87,85037.40793965718,11.78,7.87,1199.8496166721895
66,left_2rb_17.hkl,0.71,37.35,52.8,50.44,51.62,11.86,1.93,28600.51354897493,66.32,8.22,532.6174656834481,2.79,8.22,21930.72276205959,10.56,8.22,870.7454499880058
67,left_2rb_18.hkl,0.77,37.71,35.71,28.48,32.095,57.02,11.66,23883.657495204985,78.25,7.76,612.2319574378972,13.73,7.76,16780.459207927343,13.23,7.76,548.7693283884279
68,left_2rb_19.hkl,0.7,37.28,54.5,53.11,53.805,32.62,4.19,56340.45683223055,94.33,10.16,1408.2100158854446,5.27,10.16,47855.96685396915,10.02,10.16,1318.4291118175126
69,left_2rb_20.hkl,0.73,37.25,49.53,52.13,50.83,9.2,0.88,32844.88164254368,68.91,5.14,418.46650054891893,2.51,5.14,23425.753593403144,13.39,5.14,631.9382737401877
